|gpt_majority|expert1|expert2|expert3|expert_any|experts_majority|gpt_all_labels|label_gpt_1_unanimously|label_gpt_1_almost_unanimously|expert_agreement_level|gpt_agreement_level|gpt_correct|expert_mean|gpt_mean
0|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
1|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
2|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
3|0|0|0|1|1|0|0,0,1,0,0|0|0|1|1|1|0.3333333333333333|0.2
4|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
5|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
6|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
7|1|1|0|1|1|1|0,1,0,1,1|0|0|2|3|1|0.6666666666666666|0.6
8|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
9|1|0|0|1|1|0|1,0,1,1,1|0|1|1|4|0|0.3333333333333333|0.8
10|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
11|1|0|0|1|1|0|0,1,1,1,0|0|0|1|3|0|0.3333333333333333|0.6
12|1|1|0|1|1|1|1,1,1,1,0|0|1|2|4|1|0.6666666666666666|0.8
13|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
14|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
15|1|1|0|1|1|1|1,1,1,1,0|0|1|2|4|1|0.6666666666666666|0.8
16|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
17|1|1|0|1|1|1|1,0,1,1,1|0|1|2|4|1|0.6666666666666666|0.8
18|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
19|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
