|gpt_majority|expert1|expert2|expert3|expert_any|experts_majority|gpt_all_labels|label_gpt_1_unanimously|label_gpt_1_almost_unanimously|expert_agreement_level|gpt_agreement_level|gpt_correct|expert_mean|gpt_mean
0|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
1|0|0|1|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
2|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
3|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
4|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
5|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
6|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
7|1|1|0|0|1|0|1,1,1,0,0|0|0|1|3|0|0.3333333333333333|0.6
8|1|1|0|1|1|1|0,1,1,1,1|0|1|2|4|1|0.6666666666666666|0.8
9|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
10|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
11|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
12|1|1|0|1|1|1|1,1,1,0,1|0|1|2|4|1|0.6666666666666666|0.8
13|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
14|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
15|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
16|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
17|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
18|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
19|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
20|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
21|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
22|1|0|1|1|1|1|1,1,1,1,0|0|1|2|4|1|0.6666666666666666|0.8
23|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
24|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
25|0|0|0|0|0|0|0,0,0,1,0|0|0|0|1|1|0.0|0.2
26|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
27|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
28|1|1|0|1|1|1|1,1,0,1,1|0|1|2|4|1|0.6666666666666666|0.8
29|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
30|0|1|0|1|1|1|1,0,0,0,1|0|0|2|2|0|0.6666666666666666|0.4
31|1|1|0|0|1|0|1,1,1,0,0|0|0|1|3|0|0.3333333333333333|0.6
32|0|0|0|0|0|0|1,0,0,0,0|0|0|0|1|1|0.0|0.2
33|0|0|0|1|1|0|0,1,0,0,0|0|0|1|1|1|0.3333333333333333|0.2
34|0|0|0|1|1|0|1,1,0,0,0|0|0|1|2|1|0.3333333333333333|0.4
35|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
36|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
37|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
38|0|0|0|1|1|0|1,0,0,1,0|0|0|1|2|1|0.3333333333333333|0.4
39|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
40|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
41|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
42|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
43|0|0|0|1|1|0|0,1,0,0,0|0|0|1|1|1|0.3333333333333333|0.2
44|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
45|1|0|1|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
46|1|0|0|0|0|0|0,1,0,1,1|0|0|0|3|0|0.0|0.6
47|0|0|0|1|1|0|0,0,1,0,1|0|0|1|2|1|0.3333333333333333|0.4
48|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
49|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
50|0|0|1|1|1|1|0,1,0,0,0|0|0|2|1|0|0.6666666666666666|0.2
51|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
52|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
53|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
54|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
55|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
56|0|0|1|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
57|0|0|0|1|1|0|1,1,0,0,0|0|0|1|2|1|0.3333333333333333|0.4
58|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
59|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
60|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
61|0|0|0|0|0|0|1,0,0,0,0|0|0|0|1|1|0.0|0.2
62|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
63|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
64|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
65|1|0|0|1|1|0|1,1,1,1,1|1|1|1|5|0|0.3333333333333333|1.0
66|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
67|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
68|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
69|1|1|0|1|1|1|0,1,1,1,1|0|1|2|4|1|0.6666666666666666|0.8
70|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
71|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
72|0|0|0|0|0|0|1,0,0,0,0|0|0|0|1|1|0.0|0.2
73|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
74|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
75|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
76|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
77|1|1|0|1|1|1|1,1,1,0,0|0|0|2|3|1|0.6666666666666666|0.6
78|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
79|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
80|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
81|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
82|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
83|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
84|0|0|0|1|1|0|0,0,1,0,1|0|0|1|2|1|0.3333333333333333|0.4
85|1|0|0|0|0|0|1,0,0,1,1|0|0|0|3|0|0.0|0.6
86|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
87|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
88|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
89|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
90|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
91|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
92|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
93|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
94|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
95|1|0|0|1|1|0|0,0,1,1,1|0|0|1|3|0|0.3333333333333333|0.6
96|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
97|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
98|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
99|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
100|1|0|0|0|0|0|0,1,1,1,1|0|1|0|4|0|0.0|0.8
101|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
102|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
103|0|0|0|1|1|0|0,0,1,0,0|0|0|1|1|1|0.3333333333333333|0.2
104|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
105|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
106|0|0|0|0|0|0|0,0,1,0,0|0|0|0|1|1|0.0|0.2
107|1|0|1|0|1|0|1,1,1,0,0|0|0|1|3|0|0.3333333333333333|0.6
108|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
109|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
110|0|1|0|1|1|1|0,1,0,0,1|0|0|2|2|0|0.6666666666666666|0.4
111|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
112|0|0|0|0|0|0|0,1,1,0,0|0|0|0|2|1|0.0|0.4
113|1|0|0|1|1|0|1,1,1,1,1|1|1|1|5|0|0.3333333333333333|1.0
114|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
115|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
116|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
117|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
118|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
119|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
120|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
121|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
122|0|1|0|1|1|1|1,0,0,0,0|0|0|2|1|0|0.6666666666666666|0.2
123|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
124|0|0|0|1|1|0|0,1,0,1,0|0|0|1|2|1|0.3333333333333333|0.4
125|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
126|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
127|0|0|0|0|0|0|1,0,0,0,0|0|0|0|1|1|0.0|0.2
128|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
129|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
130|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
131|1|1|1|1|1|1|1,1,1,1,1|1|1|3|5|1|1.0|1.0
132|0|0|0|1|1|0|0,1,1,0,0|0|0|1|2|1|0.3333333333333333|0.4
133|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
134|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
135|0|0|0|1|1|0|0,0,0,0,1|0|0|1|1|1|0.3333333333333333|0.2
136|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
137|1|1|0|1|1|1|1,1,1,0,1|0|1|2|4|1|0.6666666666666666|0.8
138|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
139|1|0|1|1|1|1|0,1,0,1,1|0|0|2|3|1|0.6666666666666666|0.6
140|0|0|0|1|1|0|1,0,0,0,0|0|0|1|1|1|0.3333333333333333|0.2
141|1|1|1|1|1|1|1,0,0,1,1|0|0|3|3|1|1.0|0.6
142|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
143|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
144|1|0|0|0|0|0|1,1,1,0,1|0|1|0|4|0|0.0|0.8
145|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
146|0|0|0|1|1|0|0,1,0,1,0|0|0|1|2|1|0.3333333333333333|0.4
147|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
