|gpt_majority|expert1|expert2|expert3|expert_any|experts_majority|gpt_all_labels|label_gpt_1_unanimously|label_gpt_1_almost_unanimously
0|0|0|0|0|0|0|0,0,0,0,0|0|0
1|0|0|0|0|0|0|0,0,0,0,0|0|0
2|0|0|1|0|1|1|0,1,0,0,1|0|0
3|0|0|0|0|0|0|0,0,0,0,0|0|0
4|0|0|0|0|1|0|0,0,0,0,0|0|0
5|0|1|0|0|1|0|0,0,0,0,0|0|0
6|0|0|0|0|0|0|0,0,0,0,0|0|0
7|1|1|1|0|1|1|1,1,1,1,1|1|1
8|1|0|0|0|1|0|1,1,0,1,1|0|1
9|0|1|0|1|1|1|0,0,1,0,0|0|0
10|0|1|0|0|1|0|0,0,0,0,0|0|0
11|1|0|0|0|1|0|1,1,1,1,1|1|1
12|1|0|0|1|1|0|1,1,1,1,1|1|1
13|1|0|0|1|1|0|1,1,1,1,1|1|1
14|1|1|0|0|1|0|0,1,1,1,0|0|0
15|0|0|0|0|0|0|0,0,0,0,0|0|0
16|1|1|0|1|1|1|1,1,1,1,1|1|1
17|1|1|0|1|1|0|1,1,1,1,1|1|1
18|0|0|0|0|1|0|0,0,0,0,0|0|0
19|0|0|0|0|0|0|0,0,0,0,0|0|0
20|0|0|0|0|1|0|0,0,0,0,0|0|0
21|1|0|0|1|1|0|1,1,1,1,1|1|1
22|1|0|0|1|1|0|1,0,1,1,1|0|1
23|0|1|0|0|1|0|0,0,0,0,0|0|0
24|1|1|0|0|1|0|0,1,0,1,1|0|0
25|0|0|0|0|0|0|0,0,0,0,0|0|0
26|0|0|0|0|0|0|1,0,0,0,0|0|0
27|1|1|0|1|1|0|1,1,1,1,1|1|1
28|1|1|0|1|1|0|1,1,1,1,1|1|1
29|0|0|0|0|1|0|0,0,0,0,0|0|0
30|1|1|0|1|1|0|1,1,1,1,1|1|1
31|0|0|0|0|0|0|0,0,0,0,0|0|0
32|1|0|0|1|1|0|1,1,1,1,1|1|1
33|0|0|0|0|0|0|0,0,0,0,0|0|0
34|1|1|1|1|1|1|1,0,0,1,1|0|0
35|1|0|0|1|0|0|1,1,1,0,1|0|1
36|0|0|0|0|0|0|0,0,0,0,0|0|0
37|0|0|0|0|0|0|0,0,0,0,0|0|0
38|0|1|0|0|1|0|0,0,0,0,0|0|0
39|1|1|0|1|1|1|1,1,0,0,1|0|0
40|0|0|0|0|0|0|0,0,0,0,0|0|0
41|0|0|0|0|0|0|0,0,0,0,0|0|0
42|0|0|0|0|0|0|0,0,0,0,0|0|0
43|1|0|0|1|1|0|1,1,1,1,1|1|1
44|1|0|0|0|0|0|0,1,1,1,0|0|0
45|1|1|0|0|1|0|1,1,0,1,0|0|0
46|0|0|0|0|0|0|0,0,0,0,0|0|0
47|1|0|0|0|1|0|1,1,1,1,1|1|1
48|0|0|0|0|0|0|0,0,0,0,0|0|0
49|0|0|0|0|0|0|0,0,0,0,0|0|0
50|0|0|0|0|0|0|0,0,0,0,0|0|0
51|0|1|0|0|1|0|0,0,0,0,0|0|0
52|1|0|0|1|0|0|1,1,1,1,1|1|1
53|0|0|0|0|0|0|0,0,0,0,0|0|0
54|0|0|0|0|0|0|0,0,1,0,0|0|0
55|1|1|0|1|1|1|1,1,1,1,1|1|1
56|0|0|0|0|0|0|0,0,0,0,0|0|0
57|0|0|0|0|0|0|0,0,0,0,0|0|0
58|0|0|0|0|0|0|0,0,0,0,0|0|0
59|0|0|0|0|0|0|0,0,0,0,0|0|0
60|0|0|0|0|0|0|0,0,0,0,0|0|0
61|0|0|0|0|0|0|0,0,0,0,0|0|0
62|0|0|0|0|0|0|0,0,0,0,0|0|0
63|0|0|0|0|0|0|0,0,0,0,0|0|0
64|1|0|0|1|1|0|1,1,1,1,1|1|1
65|0|0|0|0|0|0|0,0,0,0,0|0|0
66|0|0|0|0|0|0|0,0,0,0,0|0|0
67|0|0|0|0|0|0|0,0,0,0,0|0|0
68|1|0|0|0|0|0|1,1,0,1,0|0|0
69|1|0|0|0|0|0|1,1,0,1,1|0|1
70|0|0|0|0|0|0|0,0,0,0,0|0|0
71|0|0|0|0|0|0|0,0,0,0,0|0|0
72|0|0|0|0|0|0|0,0,0,0,0|0|0
73|0|0|0|0|1|0|0,0,0,0,0|0|0
74|0|0|0|0|0|0|0,0,0,0,0|0|0
75|0|0|0|0|0|0|0,0,0,0,0|0|0
76|1|0|0|0|1|0|1,1,1,1,1|1|1
77|0|0|0|0|0|0|0,0,0,0,0|0|0
78|1|1|0|1|1|0|1,1,1,1,0|0|1
79|0|0|0|0|1|0|0,0,0,0,0|0|0
80|0|0|0|0|0|0|0,0,0,0,0|0|0
81|0|0|0|0|0|0|0,0,0,0,0|0|0
82|1|0|0|0|0|0|1,0,1,0,1|0|0
83|0|0|0|0|0|0|0,0,0,0,0|0|0
84|1|0|0|1|1|0|1,1,1,1,1|1|1
85|0|0|0|0|0|0|0,0,0,0,0|0|0
86|0|0|0|0|0|0|0,0,0,0,0|0|0
87|0|1|0|0|1|0|0,1,1,0,0|0|0
88|0|0|0|0|0|0|0,0,0,0,0|0|0
89|0|0|0|0|0|0|0,0,0,0,0|0|0
90|0|0|0|0|1|0|0,1,0,0,0|0|0
