|gpt_majority|expert1|expert2|expert3|expert_any|experts_majority|gpt_all_labels|label_gpt_1_unanimously|label_gpt_1_almost_unanimously
0|1|0|0|0|1|0|0,1,1,1,0|0|0
1|1|0|0|0|0|0|0,0,1,1,1|0|0
2|0|0|0|0|0|0|0,0,0,0,0|0|0
3|0|0|0|0|1|0|0,0,0,0,0|0|0
4|0|0|0|0|0|0|0,0,0,0,0|0|0
5|0|0|0|0|1|0|0,0,0,0,0|0|0
6|1|1|1|1|1|0|1,1,1,1,1|1|1
7|1|0|0|0|0|0|1,1,1,1,1|1|1
8|1|1|0|0|1|0|0,1,1,0,1|0|0
9|1|0|0|0|1|0|1,1,1,1,1|1|1
10|0|0|0|0|0|0|0,0,0,1,0|0|0
11|1|0|0|0|0|0|1,1,1,1,1|1|1
12|1|1|1|1|1|1|1,1,1,1,1|1|1
13|1|1|1|1|1|1|1,1,1,1,1|1|1
14|1|0|0|1|0|0|1,1,1,1,1|1|1
15|1|1|1|0|1|1|0,1,1,1,1|0|1
16|1|0|1|0|1|0|1,1,0,1,0|0|0
17|1|0|0|0|0|0|1,1,0,1,1|0|1
18|1|0|0|0|0|0|1,1,1,1,1|1|1
19|1|1|1|1|1|1|1,1,1,1,1|1|1
20|0|0|0|0|0|0|0,0,0,0,0|0|0
21|1|0|0|0|0|0|0,1,1,1,0|0|0
22|1|0|1|1|1|1|1,1,1,1,1|1|1
23|0|0|0|0|0|0|0,0,0,0,0|0|0
24|1|1|1|0|1|1|1,1,1,1,1|1|1
25|1|0|0|0|0|0|1,1,1,1,1|1|1
26|0|0|0|0|0|0|0,0,0,1,0|0|0
27|1|0|0|1|1|0|1,1,1,0,0|0|0
28|1|1|1|1|1|1|1,1,1,1,1|1|1
29|1|0|0|0|0|0|1,0,0,1,1|0|0
30|1|0|0|0|0|0|1,1,1,1,1|1|1
31|0|0|0|0|0|0|0,0,0,0,0|0|0
32|1|0|0|0|0|0|0,1,0,1,1|0|0
33|0|0|0|0|0|0|0,0,0,0,0|0|0
34|1|0|0|0|1|0|1,1,1,1,1|1|1
35|1|0|1|0|1|0|1,1,1,0,1|0|1
36|0|0|0|0|0|0|0,0,0,0,0|0|0
37|1|0|1|0|1|0|1,1,1,1,1|1|1
38|0|0|0|0|0|0|0,1,1,0,0|0|0
39|1|1|1|1|1|1|1,1,1,1,1|1|1
40|0|0|1|0|1|0|0,0,0,0,0|0|0
41|1|0|1|1|1|0|0,1,1,1,1|0|1
