|gpt_majority|expert1|expert2|expert3|expert_any|experts_majority|gpt_all_labels|label_gpt_1_unanimously|label_gpt_1_almost_unanimously|expert_agreement_level|gpt_agreement_level|gpt_correct|expert_mean|gpt_mean
0|0|0|0|0|0|0|0,1,1,0,0|0|0|0|2|1|0.0|0.4
1|1|0|0|0|0|0|1,1,0,1,0|0|0|0|3|0|0.0|0.6
2|0|0|0|1|1|0|1,0,0,1,0|0|0|1|2|1|0.3333333333333333|0.4
3|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
4|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
5|0|1|0|1|1|1|0,0,1,0,1|0|0|2|2|0|0.6666666666666666|0.4
6|0|1|0|0|1|0|0,1,0,0,0|0|0|1|1|1|0.3333333333333333|0.2
7|1|0|0|0|0|0|0,0,1,1,1|0|0|0|3|0|0.0|0.6
8|1|0|0|0|0|0|1,1,1,0,0|0|0|0|3|0|0.0|0.6
9|1|1|1|0|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
10|0|1|0|0|1|0|0,0,1,0,0|0|0|1|1|1|0.3333333333333333|0.2
11|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
12|1|1|1|0|1|1|1,1,1,1,0|0|1|2|4|1|0.6666666666666666|0.8
13|1|1|1|0|1|1|0,1,1,1,0|0|0|2|3|1|0.6666666666666666|0.6
14|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
15|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
16|1|1|0|0|1|0|0,1,1,1,0|0|0|1|3|0|0.3333333333333333|0.6
17|1|0|0|0|0|0|1,1,0,1,0|0|0|0|3|0|0.0|0.6
18|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
19|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
20|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
21|1|1|0|0|1|0|1,0,1,1,1|0|1|1|4|0|0.3333333333333333|0.8
22|1|1|0|0|1|0|1,1,1,1,1|1|1|1|5|0|0.3333333333333333|1.0
23|0|0|0|0|0|0|1,0,0,0,0|0|0|0|1|1|0.0|0.2
24|1|1|1|1|1|1|0,1,1,1,1|0|1|3|4|1|1.0|0.8
25|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
26|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
27|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
28|1|0|0|0|0|0|0,1,1,1,0|0|0|0|3|0|0.0|0.6
29|1|1|1|1|1|1|1,1,1,1,1|1|1|3|5|1|1.0|1.0
30|1|1|1|1|1|1|1,1,1,1,1|1|1|3|5|1|1.0|1.0
31|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
32|1|0|0|0|0|0|1,1,1,0,0|0|0|0|3|0|0.0|0.6
33|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
34|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
35|1|0|0|0|0|0|0,1,0,1,1|0|0|0|3|0|0.0|0.6
36|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
37|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
38|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
39|1|1|0|0|1|0|1,1,1,1,1|1|1|1|5|0|0.3333333333333333|1.0
40|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
41|1|1|0|0|1|0|1,1,1,1,0|0|1|1|4|0|0.3333333333333333|0.8
42|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
43|1|1|0|1|1|1|1,1,1,0,1|0|1|2|4|1|0.6666666666666666|0.8
44|1|0|0|0|0|0|0,1,1,1,0|0|0|0|3|0|0.0|0.6
45|1|1|1|0|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
46|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
47|1|0|0|1|1|0|0,1,1,1,1|0|1|1|4|0|0.3333333333333333|0.8
48|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
49|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
50|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
51|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
52|1|0|0|0|0|0|0,1,1,1,1|0|1|0|4|0|0.0|0.8
53|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
54|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
55|1|1|0|0|1|0|1,0,1,1,0|0|0|1|3|0|0.3333333333333333|0.6
56|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
57|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
58|1|0|1|0|1|0|1,1,1,0,1|0|1|1|4|0|0.3333333333333333|0.8
