|gpt_majority|expert1|expert2|expert3|expert_any|experts_majority|gpt_all_labels|label_gpt_1_unanimously|label_gpt_1_almost_unanimously|expert_agreement_level|gpt_agreement_level|gpt_correct|expert_mean|gpt_mean
0|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
1|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
2|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
3|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
4|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
5|0|1|0|1|1|1|0,0,1,1,0|0|0|2|2|0|0.6666666666666666|0.4
6|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
7|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
8|1|0|0|1|1|0|0,1,1,0,1|0|0|1|3|0|0.3333333333333333|0.6
9|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
10|0|0|1|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
11|1|0|0|1|1|0|1,0,1,0,1|0|0|1|3|0|0.3333333333333333|0.6
12|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
13|1|0|1|1|1|1|1,1,1,1,0|0|1|2|4|1|0.6666666666666666|0.8
14|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
15|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
16|1|0|1|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
17|1|0|0|1|1|0|1,1,0,1,0|0|0|1|3|0|0.3333333333333333|0.6
18|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
19|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
20|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
21|1|1|1|1|1|1|1,1,1,1,1|1|1|3|5|1|1.0|1.0
22|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
23|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
24|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
25|0|0|0|0|0|0|0,0,1,0,0|0|0|0|1|1|0.0|0.2
26|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
27|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
28|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
29|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
30|1|0|0|0|0|0|0,1,1,1,0|0|0|0|3|0|0.0|0.6
31|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
32|1|1|0|1|1|1|1,1,1,0,1|0|1|2|4|1|0.6666666666666666|0.8
33|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
34|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
35|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
36|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
37|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
38|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
39|1|0|0|1|1|0|0,1,1,0,1|0|0|1|3|0|0.3333333333333333|0.6
40|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
41|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
42|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
43|1|1|0|1|1|1|1,0,1,1,1|0|1|2|4|1|0.6666666666666666|0.8
44|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
45|1|0|0|1|1|0|1,1,1,1,1|1|1|1|5|0|0.3333333333333333|1.0
46|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
47|1|1|0|1|1|1|0,1,1,1,1|0|1|2|4|1|0.6666666666666666|0.8
48|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
49|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
50|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
51|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
52|1|1|1|1|1|1|1,1,1,1,1|1|1|3|5|1|1.0|1.0
53|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
54|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
55|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
56|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
57|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
58|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
59|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
60|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
61|0|0|0|0|0|0|1,0,0,1,0|0|0|0|2|1|0.0|0.4
62|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
63|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
64|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
65|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
66|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
67|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
68|1|1|0|0|1|0|1,1,1,1,0|0|1|1|4|0|0.3333333333333333|0.8
69|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
70|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
71|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
72|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
73|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
74|0|1|0|1|1|1|0,0,0,0,0|0|0|2|0|0|0.6666666666666666|0.0
75|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
76|1|1|0|1|1|1|1,1,0,1,1|0|1|2|4|1|0.6666666666666666|0.8
77|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
78|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
79|0|0|1|1|1|1|0,1,1,0,0|0|0|2|2|0|0.6666666666666666|0.4
80|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
81|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
82|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
83|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
84|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
85|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
86|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
87|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
88|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
89|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
90|0|0|0|0|0|0|0,0,0,1,0|0|0|0|1|1|0.0|0.2
91|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
92|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
93|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
94|1|0|0|1|1|0|0,1,1,1,0|0|0|1|3|0|0.3333333333333333|0.6
95|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
96|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
97|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
98|1|0|0|0|0|0|1,1,0,0,1|0|0|0|3|0|0.0|0.6
99|1|1|0|1|1|1|1,1,0,1,1|0|1|2|4|1|0.6666666666666666|0.8
100|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
