|gpt_majority|expert1|expert2|expert3|expert_any|experts_majority|gpt_all_labels|label_gpt_1_unanimously|label_gpt_1_almost_unanimously|expert_agreement_level|gpt_agreement_level|gpt_correct|expert_mean|gpt_mean
0|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
1|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
2|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
3|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
4|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
5|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
6|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
7|1|0|0|1|1|0|1,1,1,1,1|1|1|1|5|0|0.3333333333333333|1.0
8|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
9|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
10|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
11|1|0|0|0|0|0|0,1,1,1,1|0|1|0|4|0|0.0|0.8
12|1|1|0|1|1|1|0,1,1,1,1|0|1|2|4|1|0.6666666666666666|0.8
13|1|1|0|0|1|0|1,1,1,0,1|0|1|1|4|0|0.3333333333333333|0.8
14|1|0|0|1|1|0|1,1,1,1,1|1|1|1|5|0|0.3333333333333333|1.0
15|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
16|1|0|0|0|0|0|1,1,1,0,0|0|0|0|3|0|0.0|0.6
17|1|0|0|0|0|0|1,0,0,1,1|0|0|0|3|0|0.0|0.6
18|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
19|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
20|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
21|1|0|0|0|0|0|1,1,1,0,0|0|0|0|3|0|0.0|0.6
22|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
23|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
24|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
25|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
26|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
27|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
28|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
29|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
30|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
31|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
32|1|0|0|0|0|0|0,0,0,0,0|0|0|0|0|0|0.0|0.0
33|1|0|0|0|0|0|0,0,0,0,0|0|0|0|0|0|0.0|0.0
34|1|0|0|0|0|0|0,0,0,0,0|0|0|0|0|0|0.0|0.0
35|1|0|0|0|0|0|0,0,0,0,0|0|0|0|0|0|0.0|0.0
36|1|0|0|0|0|0|0,0,0,0,0|0|0|0|0|0|0.0|0.0
37|1|0|0|0|0|0|0,0,0,0,0|0|0|0|0|0|0.0|0.0
38|1|0|0|0|0|0|0,0,0,0,0|0|0|0|0|0|0.0|0.0
39|1|0|0|0|0|0|0,0,0,0,0|0|0|0|0|0|0.0|0.0
40|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
41|0|0|0|0|0|0|0,0,0,1,0|0|0|0|1|1|0.0|0.2
42|1|0|0|0|0|0|1,1,1,1,1|1|1|0|5|0|0.0|1.0
43|1|0|0|0|0|0|1,1,0,0,1|0|0|0|3|0|0.0|0.6
44|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
45|1|0|0|0|0|0|0,1,1,1,1|0|1|0|4|0|0.0|0.8
46|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
47|1|0|0|1|1|0|1,1,1,1,1|1|1|1|5|0|0.3333333333333333|1.0
48|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
49|1|0|0|1|1|0|1,0,1,1,0|0|0|1|3|0|0.3333333333333333|0.6
50|1|0|0|0|0|0|1,1,0,0,1|0|0|0|3|0|0.0|0.6
51|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
52|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
53|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
54|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
55|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
56|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
57|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
58|1|0|0|1|1|0|1,1,1,1,0|0|1|1|4|0|0.3333333333333333|0.8
59|1|0|0|1|1|0|0,1,1,1,1|0|1|1|4|0|0.3333333333333333|0.8
60|1|0|0|0|0|0|1,0,1,1,1|0|1|0|4|0|0.0|0.8
61|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
62|1|0|0|0|0|0|1,0,1,1,0|0|0|0|3|0|0.0|0.6
63|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
64|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
65|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
66|0|0|0|0|0|0|0,0,0,1,0|0|0|0|1|1|0.0|0.2
67|1|0|0|1|1|0|1,1,1,1,1|1|1|1|5|0|0.3333333333333333|1.0
68|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
69|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
70|1|0|0|0|0|0|1,1,0,1,0|0|0|0|3|0|0.0|0.6
71|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
72|0|0|0|1|1|0|0,1,0,0,0|0|0|1|1|1|0.3333333333333333|0.2
73|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
74|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
75|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
76|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
77|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
78|0|0|0|0|0|0|0,0,1,0,0|0|0|0|1|1|0.0|0.2
79|1|0|0|0|0|0|0,1,1,1,1|0|1|0|4|0|0.0|0.8
80|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
81|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
82|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
83|1|0|0|0|0|0|1,1,1,0,1|0|1|0|4|0|0.0|0.8
84|1|0|0|0|0|0|1,1,0,1,0|0|0|0|3|0|0.0|0.6
85|0|0|0|1|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
86|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
87|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
88|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
89|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
90|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
91|1|1|0|1|1|1|1,0,1,1,1|0|1|2|4|1|0.6666666666666666|0.8
92|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
93|1|1|0|0|1|0|1,1,0,1,0|0|0|1|3|0|0.3333333333333333|0.6
94|0|0|0|0|0|0|0,0,1,0,0|0|0|0|1|1|0.0|0.2
95|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
96|0|1|0|0|1|0|0,0,0,0,0|0|0|1|0|1|0.3333333333333333|0.0
97|1|1|0|1|1|1|1,1,1,1,1|1|1|2|5|1|0.6666666666666666|1.0
98|0|0|0|0|0|0|0,0,0,0,1|0|0|0|1|1|0.0|0.2
99|1|0|0|0|0|0|1,1,1,1,0|0|1|0|4|0|0.0|0.8
100|0|0|0|0|0|0|0,0,0,0,0|0|0|0|0|1|0.0|0.0
101|0|0|0|0|0|0|0,1,0,0,0|0|0|0|1|1|0.0|0.2
