|user_idh|post_idh|Self-direction|Stimulation|Hedonism|Achievement|Power|Security|Conformity|Tradition|Benevolence|Universalism
0|4216821a041e700782114caac8cc624417097150ea89fdbd44fcc7cb6acd35d7|20f657e6b1850a8c930abc63417b7adb9d45002370a99c9c84fe9fad9696ae2e|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,0,0,1|0,1,0,0,0|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0
1|deec49a0270cddec42ddb1279fb4130cd31ffe0bb335b83e266823816da4ff6c|e2376a79db852eac32fb288b11e3fba92ac957047f7a5349d0a7da1e6bc7814e|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,0,1,1|0,0,0,0,0|0,0,1,0,0|1,1,1,1,1|0,1,0,0,0
2|70d9bf963dd27255db4bb4633ec8dc20cfef78476a2be8fa0dd6f62789d83eda|7bd7dc5d600a4845920e9912eabf18ddd0dcfdfccc60bab62e07d414aa8f3579|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,1,1,0|1,1,1,1,1|0,0,0,0,0
3|e7021e2ffb0f6020336fd9e6ec18c4cdb12b251fcd2c269c94178a196dcc1ed7|db32d77983d3f4d52d9455a68c8ea958e73a88101859c6f239e3f9a6991a45ff|0,0,0,0,0|0,0,0,0,0|1,1,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0
4|04a0fc4429c6972b2c78b7550f925bcc4a9279d72388439d3bc8e2474f6eee40|3f26e05ad9a49f60b7e0cc328ee31d3a09385839e2e301ce73be3c83cf913faa|0,0,1,0,0|0,0,0,0,0|0,0,0,0,0|0,0,1,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|1,1,0,0,0
5|7ec299eab0936b7437086e5c0dd77d814db1b60be54a83548332aae0347f9467|c897b949fb96b746bdca9ffd2666b8832474c1985959f13e4a9f48124c8cc054|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,1,0|1,1,1,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
6|7dbb2ab0aec7661cc51ec56fb5fea772b6bfc2e033aa3d130728804765e0f844|68c041eedb698a0fdc25ef7fa713e5b87cf6e1638528eb831ce3c152debac0aa|1,1,1,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,0,0,0|0,0,0,0,0|0,1,0,1,1|0,0,0,0,0
7|9193fd3873ea873c86bf5977295a8bfbd31f238db2c84820d7301e5527bfb033|eaaa93da4ab980e458cea073e18c8d35a36becdc3ffc735345dd9d0cd54d6eb2|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,1,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,0,0|1,1,1,1,1|0,0,0,0,0
8|694a02ed4ddfe6bca75277b4f5da48e6ca8b00515dd66a015070736c2427d2d4|c29f7f665f7aec35ed13df949a4ba6f60dbe62f7a8513441cc0643c5e2e8ae7a|0,1,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,1,0|1,0,0,0,0|1,1,0,1,1|0,0,0,0,0|1,1,1,1,1
9|19308dd7dc3a3daf90a2047a2058f62bf51d9dc757007b5e50ab78be8886fc30|b555cb784507dbe4adc6877546e1fcdc7d186cdc030f485240c4ba2df55da116|0,0,0,0,0|1,1,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0|0,0,0,1,0
